disasm	exe	type	lookalikes	FP	TP	FN
symbolize-nonstring-eh	[	CONSTANT	149	0	149	0
symbolize-nonstring-eh	[	OPERAND	12	0	12	0
symbolize-nonstring-eh	b2sum	CONSTANT	185	0	185	0
symbolize-nonstring-eh	b2sum	OPERAND	12	0	12	0
symbolize-nonstring-eh	base32	CONSTANT	155	0	155	0
symbolize-nonstring-eh	base32	OPERAND	12	0	12	0
symbolize-nonstring-eh	base64	CONSTANT	155	0	155	0
symbolize-nonstring-eh	base64	OPERAND	12	0	12	0
symbolize-nonstring-eh	basename	CONSTANT	128	0	128	0
symbolize-nonstring-eh	basename	OPERAND	12	0	12	0
symbolize-nonstring-eh	cat	CONSTANT	152	0	152	0
symbolize-nonstring-eh	cat	OPERAND	12	0	12	0
symbolize-nonstring-eh	chcon	CONSTANT	240	0	239	0
symbolize-nonstring-eh	chcon	OPERAND	12	0	12	0
symbolize-nonstring-eh	chcon	RLTV	25	0	25	0
symbolize-nonstring-eh	chgrp	CONSTANT	204	0	203	0
symbolize-nonstring-eh	chgrp	OPERAND	12	0	12	0
symbolize-nonstring-eh	chgrp	RLTV	25	0	25	0
symbolize-nonstring-eh	chmod	CONSTANT	180	0	179	0
symbolize-nonstring-eh	chmod	OPERAND	12	0	12	0
symbolize-nonstring-eh	chmod	RLTV	25	0	25	0
symbolize-nonstring-eh	chown	CONSTANT	210	1	209	0
symbolize-nonstring-eh	chown	OPERAND	12	0	12	0
symbolize-nonstring-eh	chown	RLTV	25	0	25	0
symbolize-nonstring-eh	chroot	CONSTANT	185	0	185	0
symbolize-nonstring-eh	chroot	OPERAND	12	0	12	0
symbolize-nonstring-eh	cksum	CONSTANT	134	0	134	0
symbolize-nonstring-eh	cksum	OPERAND	12	0	12	0
symbolize-nonstring-eh	cksum	RLTV	3	0	3	0
symbolize-nonstring-eh	comm	CONSTANT	149	0	149	0
symbolize-nonstring-eh	comm	OPERAND	12	0	12	0
symbolize-nonstring-eh	cp	CONSTANT	420	0	419	0
symbolize-nonstring-eh	cp	OPERAND	39	0	39	0
symbolize-nonstring-eh	cp	RLTV	95	0	95	0
symbolize-nonstring-eh	csplit	CONSTANT	206	0	206	0
symbolize-nonstring-eh	csplit	OPERAND	12	0	12	0
symbolize-nonstring-eh	csplit	RLTV	3	0	3	0
symbolize-nonstring-eh	cut	CONSTANT	170	0	170	0
symbolize-nonstring-eh	cut	OPERAND	12	0	12	0
symbolize-nonstring-eh	cut	RLTV	3	0	3	0
symbolize-nonstring-eh	date	CONSTANT	218	1	215	0
symbolize-nonstring-eh	date	OPERAND	12	0	12	0
symbolize-nonstring-eh	dd	CONSTANT	233	2	230	0
symbolize-nonstring-eh	dd	OPERAND	9	0	9	0
symbolize-nonstring-eh	dd	RLTV	24	0	24	0
symbolize-nonstring-eh	df	CONSTANT	270	2	263	0
symbolize-nonstring-eh	df	OPERAND	21	0	21	0
symbolize-nonstring-eh	df	RLTV	15	0	15	0
symbolize-nonstring-eh	dir	CONSTANT	491	5	482	0
symbolize-nonstring-eh	dir	OPERAND	21	0	21	0
symbolize-nonstring-eh	dir	RLTV	21	0	21	0
symbolize-nonstring-eh	dircolors	CONSTANT	152	0	152	0
symbolize-nonstring-eh	dircolors	OPERAND	12	0	12	0
symbolize-nonstring-eh	dirname	CONSTANT	128	0	128	0
symbolize-nonstring-eh	dirname	OPERAND	12	0	12	0
symbolize-nonstring-eh	du	CONSTANT	307	1	302	0
symbolize-nonstring-eh	du	OPERAND	15	0	15	0
symbolize-nonstring-eh	du	RLTV	67	0	67	0
symbolize-nonstring-eh	echo	CONSTANT	142	6	128	0
symbolize-nonstring-eh	echo	OPERAND	19	0	19	0
symbolize-nonstring-eh	env	CONSTANT	152	0	152	0
symbolize-nonstring-eh	env	OPERAND	12	0	12	0
symbolize-nonstring-eh	expand	CONSTANT	146	0	146	0
symbolize-nonstring-eh	expand	OPERAND	12	0	12	0
symbolize-nonstring-eh	expr	CONSTANT	179	0	179	0
symbolize-nonstring-eh	expr	OPERAND	12	0	12	0
symbolize-nonstring-eh	expr	RLTV	3	0	3	0
symbolize-nonstring-eh	factor	CONSTANT	270	4	260	0
symbolize-nonstring-eh	factor	OPERAND	12	0	12	0
symbolize-nonstring-eh	factor	RLTV	3	0	3	0
symbolize-nonstring-eh	false	CONSTANT	137	3	122	0
symbolize-nonstring-eh	false	OPERAND	12	0	12	0
symbolize-nonstring-eh	fmt	CONSTANT	149	0	149	0
symbolize-nonstring-eh	fmt	OPERAND	12	0	12	0
symbolize-nonstring-eh	fold	CONSTANT	149	0	149	0
symbolize-nonstring-eh	fold	OPERAND	12	0	12	0
symbolize-nonstring-eh	groups	CONSTANT	149	0	149	0
symbolize-nonstring-eh	groups	OPERAND	12	0	12	0
symbolize-nonstring-eh	head	CONSTANT	155	0	155	0
symbolize-nonstring-eh	head	OPERAND	12	0	12	0
symbolize-nonstring-eh	hostid	CONSTANT	125	0	125	0
symbolize-nonstring-eh	hostid	OPERAND	12	0	12	0
symbolize-nonstring-eh	hostid	RLTV	3	0	3	0
symbolize-nonstring-eh	id	CONSTANT	179	0	179	0
symbolize-nonstring-eh	id	OPERAND	12	0	12	0
symbolize-nonstring-eh	install	CONSTANT	468	0	467	0
symbolize-nonstring-eh	install	OPERAND	39	0	39	0
symbolize-nonstring-eh	install	RLTV	110	0	110	0
symbolize-nonstring-eh	join	CONSTANT	170	0	170	0
symbolize-nonstring-eh	join	OPERAND	12	0	12	0
symbolize-nonstring-eh	join	RLTV	3	0	3	0
symbolize-nonstring-eh	kill	CONSTANT	155	0	155	0
symbolize-nonstring-eh	kill	OPERAND	12	0	12	0
symbolize-nonstring-eh	link	CONSTANT	128	3	125	0
symbolize-nonstring-eh	link	OPERAND	12	0	12	0
symbolize-nonstring-eh	link	RLTV	3	0	3	0
symbolize-nonstring-eh	ln	CONSTANT	254	0	253	0
symbolize-nonstring-eh	ln	OPERAND	30	0	30	0
symbolize-nonstring-eh	ln	RLTV	33	0	33	0
symbolize-nonstring-eh	logname	CONSTANT	128	0	128	0
symbolize-nonstring-eh	logname	OPERAND	12	0	12	0
symbolize-nonstring-eh	logname	RLTV	3	0	3	0
symbolize-nonstring-eh	ls	CONSTANT	491	5	482	0
symbolize-nonstring-eh	ls	OPERAND	21	0	21	0
symbolize-nonstring-eh	ls	RLTV	21	0	21	0
symbolize-nonstring-eh	md5sum	CONSTANT	164	0	164	0
symbolize-nonstring-eh	md5sum	OPERAND	12	0	12	0
symbolize-nonstring-eh	mkdir	CONSTANT	282	0	281	0
symbolize-nonstring-eh	mkdir	OPERAND	21	0	21	0
symbolize-nonstring-eh	mkdir	RLTV	34	0	34	0
symbolize-nonstring-eh	mkfifo	CONSTANT	246	0	245	0
symbolize-nonstring-eh	mkfifo	OPERAND	21	0	21	0
symbolize-nonstring-eh	mkfifo	RLTV	25	0	25	0
symbolize-nonstring-eh	mknod	CONSTANT	255	1	254	0
symbolize-nonstring-eh	mknod	OPERAND	21	0	21	0
symbolize-nonstring-eh	mknod	RLTV	25	0	25	0
symbolize-nonstring-eh	mktemp	CONSTANT	191	0	191	0
symbolize-nonstring-eh	mktemp	OPERAND	9	0	9	0
symbolize-nonstring-eh	mktemp	RLTV	24	0	24	0
symbolize-nonstring-eh	mv	CONSTANT	423	0	422	0
symbolize-nonstring-eh	mv	OPERAND	39	0	39	0
symbolize-nonstring-eh	mv	RLTV	95	0	95	0
symbolize-nonstring-eh	nice	CONSTANT	140	0	140	0
symbolize-nonstring-eh	nice	OPERAND	12	0	12	0
symbolize-nonstring-eh	nl	CONSTANT	164	0	164	0
symbolize-nonstring-eh	nl	OPERAND	12	0	12	0
symbolize-nonstring-eh	nohup	CONSTANT	152	0	152	0
symbolize-nonstring-eh	nohup	OPERAND	12	0	12	0
symbolize-nonstring-eh	nohup	RLTV	3	0	3	0
