disasm	exe	type	lookalikes	FP	TP	FN
symbolize-nonstring-eh	[	CONSTANT	181	29	149	0
symbolize-nonstring-eh	b2sum	CONSTANT	218	33	185	0
symbolize-nonstring-eh	base32	CONSTANT	184	29	155	0
symbolize-nonstring-eh	base64	CONSTANT	184	29	155	0
symbolize-nonstring-eh	basename	CONSTANT	157	29	128	0
symbolize-nonstring-eh	cat	CONSTANT	180	28	152	0
symbolize-nonstring-eh	chcon	CONSTANT	292	49	239	0
symbolize-nonstring-eh	chgrp	CONSTANT	253	46	203	0
symbolize-nonstring-eh	chmod	CONSTANT	230	47	179	0
symbolize-nonstring-eh	chown	CONSTANT	260	47	209	0
symbolize-nonstring-eh	chroot	CONSTANT	215	30	185	0
symbolize-nonstring-eh	cksum	CONSTANT	166	32	134	0
symbolize-nonstring-eh	comm	CONSTANT	178	29	149	0
symbolize-nonstring-eh	cp	CONSTANT	559	130	419	0
symbolize-nonstring-eh	csplit	CONSTANT	252	46	206	0
symbolize-nonstring-eh	cut	CONSTANT	205	35	170	0
symbolize-nonstring-eh	date	CONSTANT	251	31	215	0
symbolize-nonstring-eh	dd	CONSTANT	309	78	230	0
symbolize-nonstring-eh	df	CONSTANT	312	43	263	0
symbolize-nonstring-eh	dir	CONSTANT	702	202	482	0
symbolize-nonstring-eh	dircolors	CONSTANT	206	54	152	0
symbolize-nonstring-eh	dirname	CONSTANT	156	28	128	0
symbolize-nonstring-eh	du	CONSTANT	369	59	302	0
symbolize-nonstring-eh	echo	CONSTANT	173	35	128	0
symbolize-nonstring-eh	env	CONSTANT	183	31	152	0
symbolize-nonstring-eh	expand	CONSTANT	180	34	146	0
symbolize-nonstring-eh	expr	CONSTANT	213	34	179	0
symbolize-nonstring-eh	factor	CONSTANT	300	33	260	0
symbolize-nonstring-eh	false	CONSTANT	166	31	122	0
symbolize-nonstring-eh	fmt	CONSTANT	1951	1796	149	0
symbolize-nonstring-eh	fold	CONSTANT	179	30	149	0
symbolize-nonstring-eh	groups	CONSTANT	177	28	149	0
symbolize-nonstring-eh	head	CONSTANT	184	29	155	0
symbolize-nonstring-eh	hostid	CONSTANT	155	30	125	0
symbolize-nonstring-eh	id	CONSTANT	213	34	179	0
symbolize-nonstring-eh	install	CONSTANT	998	486	467	0
symbolize-nonstring-eh	join	CONSTANT	215	45	170	0
symbolize-nonstring-eh	kill	CONSTANT	185	30	155	0
symbolize-nonstring-eh	link	CONSTANT	158	33	125	0
symbolize-nonstring-eh	ln	CONSTANT	291	35	253	0
symbolize-nonstring-eh	logname	CONSTANT	158	30	128	0
symbolize-nonstring-eh	ls	CONSTANT	702	202	482	0
symbolize-nonstring-eh	md5sum	CONSTANT	196	32	164	0
symbolize-nonstring-eh	mkdir	CONSTANT	331	46	281	0
symbolize-nonstring-eh	mkfifo	CONSTANT	293	44	245	0
symbolize-nonstring-eh	mknod	CONSTANT	302	45	254	0
symbolize-nonstring-eh	mktemp	CONSTANT	220	29	191	0
symbolize-nonstring-eh	mv	CONSTANT	558	127	422	0
symbolize-nonstring-eh	nice	CONSTANT	168	28	140	0
symbolize-nonstring-eh	nl	CONSTANT	231	67	164	0
symbolize-nonstring-eh	nohup	CONSTANT	181	29	152	0
symbolize-nonstring-eh	nproc	CONSTANT	176	30	146	0
symbolize-nonstring-eh	numfmt	CONSTANT	228	43	182	0
symbolize-nonstring-eh	od	CONSTANT	230	48	182	0
symbolize-nonstring-eh	paste	CONSTANT	170	30	140	0
symbolize-nonstring-eh	pathchk	CONSTANT	162	28	134	0
symbolize-nonstring-eh	pinky	CONSTANT	228	37	191	0
symbolize-nonstring-eh	pr	CONSTANT	261	46	215	0
symbolize-nonstring-eh	printenv	CONSTANT	153	28	125	0
symbolize-nonstring-eh	printf	CONSTANT	190	31	158	0
symbolize-nonstring-eh	ptx	CONSTANT	332	105	227	0
symbolize-nonstring-eh	pwd	CONSTANT	189	28	161	0
symbolize-nonstring-eh	readlink	CONSTANT	178	29	149	0
symbolize-nonstring-eh	realpath	CONSTANT	181	29	151	0
symbolize-nonstring-eh	rm	CONSTANT	251	44	203	0
symbolize-nonstring-eh	rmdir	CONSTANT	177	28	149	0
symbolize-nonstring-eh	runcon	CONSTANT	204	28	176	0
symbolize-nonstring-eh	seq	CONSTANT	195	31	164	0
symbolize-nonstring-eh	sha1sum	CONSTANT	196	32	164	0
symbolize-nonstring-eh	sha224sum	CONSTANT	196	32	164	0
symbolize-nonstring-eh	sha256sum	CONSTANT	196	32	164	0
symbolize-nonstring-eh	sha384sum	CONSTANT	196	32	164	0
symbolize-nonstring-eh	sha512sum	CONSTANT	196	32	164	0
symbolize-nonstring-eh	shred	CONSTANT	281	34	245	0
symbolize-nonstring-eh	shuf	CONSTANT	239	29	209	0
symbolize-nonstring-eh	sleep	CONSTANT	162	31	131	0
symbolize-nonstring-eh	sort	CONSTANT	503	147	350	0
symbolize-nonstring-eh	split	CONSTANT	291	64	227	0
symbolize-nonstring-eh	stat	CONSTANT	316	39	277	0
symbolize-nonstring-eh	stty	CONSTANT	228	46	182	0
symbolize-nonstring-eh	sum	CONSTANT	205	29	173	0
symbolize-nonstring-eh	sync	CONSTANT	171	28	143	0
symbolize-nonstring-eh	tac	CONSTANT	651	473	176	0
symbolize-nonstring-eh	tail	CONSTANT	248	30	218	0
symbolize-nonstring-eh	tee	CONSTANT	187	29	158	0
symbolize-nonstring-eh	test	CONSTANT	183	33	149	0
symbolize-nonstring-eh	timeout	CONSTANT	237	33	203	0
symbolize-nonstring-eh	touch	CONSTANT	261	34	224	0
symbolize-nonstring-eh	tr	CONSTANT	668	513	155	0
symbolize-nonstring-eh	true	CONSTANT	166	31	122	0
symbolize-nonstring-eh	truncate	CONSTANT	174	28	146	0
symbolize-nonstring-eh	tsort	CONSTANT	183	34	149	0
symbolize-nonstring-eh	tty	CONSTANT	159	28	131	0
symbolize-nonstring-eh	uname	CONSTANT	158	27	131	0
symbolize-nonstring-eh	unexpand	CONSTANT	183	34	149	0
symbolize-nonstring-eh	uniq	CONSTANT	203	30	173	0
symbolize-nonstring-eh	unlink	CONSTANT	158	33	125	0
symbolize-nonstring-eh	uptime	CONSTANT	235	29	206	0
symbolize-nonstring-eh	users	CONSTANT	179	30	149	0
symbolize-nonstring-eh	vdir	CONSTANT	702	202	482	0
symbolize-nonstring-eh	wc	CONSTANT	242	51	191	0
symbolize-nonstring-eh	who	CONSTANT	228	40	188	0
symbolize-nonstring-eh	whoami	CONSTANT	161	30	131	0
symbolize-nonstring-eh	yes	CONSTANT	159	31	125	0
