disasm	exe	type	lookalikes	FP	TP	FN
ehdisasm	[	CONSTANT	181	29	149	0
ehdisasm	b2sum	CONSTANT	218	33	185	0
ehdisasm	base32	CONSTANT	184	29	155	0
ehdisasm	base64	CONSTANT	184	29	155	0
ehdisasm	basename	CONSTANT	157	29	128	0
ehdisasm	cat	CONSTANT	180	28	152	0
ehdisasm	chcon	CONSTANT	292	49	239	0
ehdisasm	chgrp	CONSTANT	253	46	203	0
ehdisasm	chmod	CONSTANT	230	47	179	0
ehdisasm	chown	CONSTANT	260	47	209	0
ehdisasm	chroot	CONSTANT	215	30	185	0
ehdisasm	cksum	CONSTANT	166	32	134	0
ehdisasm	comm	CONSTANT	178	29	149	0
ehdisasm	cp	CONSTANT	559	130	419	0
ehdisasm	csplit	CONSTANT	252	46	206	0
ehdisasm	cut	CONSTANT	205	35	170	0
ehdisasm	date	CONSTANT	251	31	215	0
ehdisasm	dd	CONSTANT	309	78	230	0
ehdisasm	df	CONSTANT	312	43	263	0
ehdisasm	dir	CONSTANT	702	202	482	0
ehdisasm	dircolors	CONSTANT	206	54	152	0
ehdisasm	dirname	CONSTANT	156	28	128	0
ehdisasm	du	CONSTANT	369	59	302	0
ehdisasm	echo	CONSTANT	173	35	128	0
ehdisasm	env	CONSTANT	183	31	152	0
ehdisasm	expand	CONSTANT	180	34	146	0
ehdisasm	expr	CONSTANT	213	34	179	0
ehdisasm	factor	CONSTANT	300	33	260	0
ehdisasm	false	CONSTANT	166	31	122	0
ehdisasm	fmt	CONSTANT	1951	1796	149	0
ehdisasm	fold	CONSTANT	179	30	149	0
ehdisasm	groups	CONSTANT	177	28	149	0
ehdisasm	head	CONSTANT	184	29	155	0
ehdisasm	hostid	CONSTANT	155	30	125	0
ehdisasm	id	CONSTANT	213	34	179	0
ehdisasm	install	CONSTANT	998	486	467	0
ehdisasm	join	CONSTANT	215	45	170	0
ehdisasm	kill	CONSTANT	185	30	155	0
ehdisasm	link	CONSTANT	158	33	125	0
ehdisasm	ln	CONSTANT	291	35	253	0
ehdisasm	logname	CONSTANT	158	30	128	0
ehdisasm	ls	CONSTANT	702	202	482	0
ehdisasm	md5sum	CONSTANT	196	32	164	0
ehdisasm	mkdir	CONSTANT	331	46	281	0
ehdisasm	mkfifo	CONSTANT	293	44	245	0
ehdisasm	mknod	CONSTANT	302	45	254	0
ehdisasm	mktemp	CONSTANT	220	29	191	0
ehdisasm	mv	CONSTANT	558	127	422	0
ehdisasm	nice	CONSTANT	168	28	140	0
ehdisasm	nl	CONSTANT	231	67	164	0
ehdisasm	nohup	CONSTANT	181	29	152	0
ehdisasm	nproc	CONSTANT	176	30	146	0
ehdisasm	numfmt	CONSTANT	228	43	182	0
ehdisasm	od	CONSTANT	230	48	182	0
ehdisasm	paste	CONSTANT	170	30	140	0
ehdisasm	pathchk	CONSTANT	162	28	134	0
ehdisasm	pinky	CONSTANT	228	37	191	0
ehdisasm	pr	CONSTANT	261	46	215	0
ehdisasm	printenv	CONSTANT	153	28	125	0
ehdisasm	printf	CONSTANT	190	31	158	0
ehdisasm	ptx	CONSTANT	332	105	227	0
ehdisasm	pwd	CONSTANT	189	28	161	0
ehdisasm	readlink	CONSTANT	178	29	149	0
ehdisasm	realpath	CONSTANT	181	29	151	0
ehdisasm	rm	CONSTANT	251	44	203	0
ehdisasm	rmdir	CONSTANT	177	28	149	0
ehdisasm	runcon	CONSTANT	204	28	176	0
ehdisasm	seq	CONSTANT	195	31	164	0
ehdisasm	sha1sum	CONSTANT	196	32	164	0
ehdisasm	sha224sum	CONSTANT	196	32	164	0
ehdisasm	sha256sum	CONSTANT	196	32	164	0
ehdisasm	sha384sum	CONSTANT	196	32	164	0
ehdisasm	sha512sum	CONSTANT	196	32	164	0
ehdisasm	shred	CONSTANT	281	34	245	0
ehdisasm	shuf	CONSTANT	239	29	209	0
ehdisasm	sleep	CONSTANT	162	31	131	0
ehdisasm	sort	CONSTANT	503	147	350	0
ehdisasm	split	CONSTANT	291	64	227	0
ehdisasm	stat	CONSTANT	316	39	277	0
ehdisasm	stty	CONSTANT	228	46	182	0
ehdisasm	sum	CONSTANT	205	29	173	0
ehdisasm	sync	CONSTANT	171	28	143	0
ehdisasm	tac	CONSTANT	651	473	176	0
ehdisasm	tail	CONSTANT	248	30	218	0
ehdisasm	tee	CONSTANT	187	29	158	0
ehdisasm	test	CONSTANT	183	33	149	0
ehdisasm	timeout	CONSTANT	237	33	203	0
ehdisasm	touch	CONSTANT	261	34	224	0
ehdisasm	tr	CONSTANT	668	513	155	0
ehdisasm	true	CONSTANT	166	31	122	0
ehdisasm	truncate	CONSTANT	174	28	146	0
ehdisasm	tsort	CONSTANT	183	34	149	0
ehdisasm	tty	CONSTANT	159	28	131	0
ehdisasm	uname	CONSTANT	158	27	131	0
ehdisasm	unexpand	CONSTANT	183	34	149	0
ehdisasm	uniq	CONSTANT	203	30	173	0
ehdisasm	unlink	CONSTANT	158	33	125	0
ehdisasm	uptime	CONSTANT	235	29	206	0
ehdisasm	users	CONSTANT	179	30	149	0
ehdisasm	vdir	CONSTANT	702	202	482	0
ehdisasm	wc	CONSTANT	242	51	191	0
ehdisasm	who	CONSTANT	228	40	188	0
ehdisasm	whoami	CONSTANT	161	30	131	0
ehdisasm	yes	CONSTANT	159	31	125	0
