disasm	exe	compiler	type	sections	lookalikes	FP	ALIGNEDFP	TP	ALIGNEDTP	FN
ehdisasm	bar	gcc	CONSTANT	.rodata	3	3	1	0	0	0
ehdisasm	bar	gcc	CONSTANT	.text	17	6	0	0	0	0
ehdisasm	bar	gcc	OPERAND	.text	13	4	0	9	0	0
ehdisasm	bison	gcc	CONSTANT	.data.rel.ro	93	1	0	90	90	0
ehdisasm	bison	gcc	CONSTANT	.rodata	525	107	23	0	0	0
ehdisasm	bool	gcc	CONSTANT	.text	18	6	0	0	0	0
ehdisasm	chown	gcc	CONSTANT	.rodata	1	1	0	0	0	0
ehdisasm	date	gcc	CONSTANT	.rodata	3	1	0	0	0	0
ehdisasm	dd	gcc	CONSTANT	.rodata	3	2	0	0	0	0
ehdisasm	df	gcc	CONSTANT	.rodata	7	2	0	0	0	0
ehdisasm	dir	gcc	CONSTANT	.data.rel.ro	159	1	0	156	156	0
ehdisasm	dir	gcc	CONSTANT	.rodata	6	4	0	0	0	0
ehdisasm	du	gcc	CONSTANT	.rodata	5	1	0	0	0	0
ehdisasm	echo	gcc	CONSTANT	.text	14	6	0	0	0	0
ehdisasm	enscript	gcc	CONSTANT	.data	54	38	0	0	0	0
ehdisasm	enscript	gcc	CONSTANT	.data.rel.ro	6	4	0	0	0	0
ehdisasm	enscript	gcc	CONSTANT	.rodata	22	8	0	0	0	0
ehdisasm	factor	gcc	CONSTANT	.rodata	10	4	0	0	0	0
ehdisasm	false	gcc	CONSTANT	.text	15	3	0	0	0	0
ehdisasm	flex	gcc	CONSTANT	.rodata	101	41	13	0	0	0
ehdisasm	gawk	gcc	CONSTANT	.data.rel.ro	580	81	0	435	435	0
ehdisasm	gawk	gcc	CONSTANT	.rodata	575	208	25	0	0	0
ehdisasm	gawk	gcc	CONSTANT	.text	102	102	0	0	0	0
ehdisasm	gawk-5.0.1	gcc	CONSTANT	.data.rel.ro	580	81	0	435	435	0
ehdisasm	gawk-5.0.1	gcc	CONSTANT	.rodata	575	208	25	0	0	0
ehdisasm	gawk-5.0.1	gcc	CONSTANT	.text	102	102	0	0	0	0
ehdisasm	grep	gcc	CONSTANT	.data.rel.ro	58	1	0	51	51	0
ehdisasm	grep	gcc	CONSTANT	.rodata	4	1	0	0	0	0
ehdisasm	gzip	gcc	CONSTANT	.data	6	2	0	3	3	0
ehdisasm	gzip	gcc	CONSTANT	.rodata	6	2	0	0	0	0
ehdisasm	lighttpd	gcc	CONSTANT	.rodata	6	1	0	0	0	0
ehdisasm	link	gcc	CONSTANT	.text	3	3	0	0	0	0
ehdisasm	ls	gcc	CONSTANT	.data.rel.ro	159	1	0	156	156	0
ehdisasm	ls	gcc	CONSTANT	.rodata	6	4	0	0	0	0
