disasm	exe	compiler	type	sections	lookalikes	FP	ALIGNEDFP	TP	ALIGNEDTP	FN
symbolize-nonstring-eh	bar	gcc	CONSTANT	.rodata	3	3	1	0	0	0
symbolize-nonstring-eh	bar	gcc	CONSTANT	.text	17	6	0	0	0	0
symbolize-nonstring-eh	bar	gcc	OPERAND	.text	13	4	0	9	0	0
symbolize-nonstring-eh	bison	gcc	CONSTANT	.data.rel.ro	93	1	0	90	90	0
symbolize-nonstring-eh	bison	gcc	CONSTANT	.rodata	525	104	22	0	0	0
symbolize-nonstring-eh	bool	gcc	CONSTANT	.text	18	6	0	0	0	0
symbolize-nonstring-eh	chown	gcc	CONSTANT	.rodata	1	1	0	0	0	0
symbolize-nonstring-eh	dd	gcc	CONSTANT	.rodata	3	2	0	0	0	0
symbolize-nonstring-eh	df	gcc	CONSTANT	.rodata	7	2	0	0	0	0
symbolize-nonstring-eh	dir	gcc	CONSTANT	.data.rel.ro	159	1	0	156	156	0
symbolize-nonstring-eh	dir	gcc	CONSTANT	.rodata	6	4	0	0	0	0
symbolize-nonstring-eh	du	gcc	CONSTANT	.rodata	5	1	0	0	0	0
symbolize-nonstring-eh	echo	gcc	CONSTANT	.text	14	6	0	0	0	0
symbolize-nonstring-eh	enscript	gcc	CONSTANT	.data	54	38	0	0	0	0
symbolize-nonstring-eh	enscript	gcc	CONSTANT	.data.rel.ro	6	4	0	0	0	0
symbolize-nonstring-eh	enscript	gcc	CONSTANT	.rodata	22	7	0	0	0	0
symbolize-nonstring-eh	factor	gcc	CONSTANT	.rodata	10	4	0	0	0	0
symbolize-nonstring-eh	false	gcc	CONSTANT	.text	15	3	0	0	0	0
symbolize-nonstring-eh	flex	gcc	CONSTANT	.rodata	101	35	11	0	0	0
symbolize-nonstring-eh	gawk	gcc	CONSTANT	.data.rel.ro	580	81	0	435	435	0
symbolize-nonstring-eh	gawk	gcc	CONSTANT	.rodata	575	148	21	0	0	0
symbolize-nonstring-eh	gawk	gcc	CONSTANT	.text	102	102	0	0	0	0
symbolize-nonstring-eh	gawk-5.0.1	gcc	CONSTANT	.data.rel.ro	580	81	0	435	435	0
symbolize-nonstring-eh	gawk-5.0.1	gcc	CONSTANT	.rodata	575	148	21	0	0	0
symbolize-nonstring-eh	gawk-5.0.1	gcc	CONSTANT	.text	102	102	0	0	0	0
symbolize-nonstring-eh	grep	gcc	CONSTANT	.data.rel.ro	58	1	0	51	51	0
symbolize-nonstring-eh	grep	gcc	CONSTANT	.rodata	4	1	0	0	0	0
symbolize-nonstring-eh	gzip	gcc	CONSTANT	.data	6	2	0	3	3	0
symbolize-nonstring-eh	gzip	gcc	CONSTANT	.rodata	6	2	0	0	0	0
symbolize-nonstring-eh	link	gcc	CONSTANT	.text	3	3	0	0	0	0
symbolize-nonstring-eh	ls	gcc	CONSTANT	.data.rel.ro	159	1	0	156	156	0
symbolize-nonstring-eh	ls	gcc	CONSTANT	.rodata	6	4	0	0	0	0
