tar,414K
libacl.so.1.1.0,31K
libattr.so.1.1.0,19K
libblkid.so.1.1.0,305K
libbsd.so.0.8.7,79K
libbz2.so.1.0.4,66K
libcom_err.so.2.1,14K
libcrypt-2.27.so,39K
libc-2.27.so,2.0M
libdbus-1.so.3.19.4,307K
libdl-2.27.so,15K
libexpat.so.1.6.7,199K
libgcc_s.so.1,95K
libgpg-error.so.0.22.0,83K
libidn.so.11.6.16,203K
libkeyutils.so.1.5,14K
liblzma.so.5.2.2,151K
libmount.so.1.1.0,333K
libm-2.27.so,1.7M
libnl-3.so.200.24.0,127K
libnl-genl-3.so.200.24.0,24K
libnsl-2.27.so,95K
libnss_compat-2.27.so,39K
libnss_files-2.27.so,47K
libnss_nis-2.27.so,47K
libpcre.so.3.13.3,454K
libpthread-2.27.so,142K
libresolv-2.27.so,99K
librt-2.27.so,31K
libseccomp.so.2.4.3,303K
libselinux.so.1,152K
libsystemd.so.0.21.0,525K
libtinfo.so.5.9,167K
libudev.so.1.6.9,119K
libutil-2.27.so,11K
libuuid.so.1.3.0,27K
libwrap.so.0.7.6,39K
libz.so.1.2.11,115K
apt-get,43K
enscript,275K
evince,432K
gedit,10K
gimp-2.8,5.8M
perl,2.1M
scp,99K
vim.basic,2.6M
vlc,14K
wireshark,8.1M
libgimpbase-2.0.so.0.800.22,102K
libgimpcolor-2.0.so.0.800.22,50K
libgimpconfig-2.0.so.0.800.22,66K
libgimpmath-2.0.so.0.800.22,22K
libgimpmodule-2.0.so.0.800.22,18K
libgimpthumb-2.0.so.0.800.22,38K
libenchant_aspell.so,9.9K
libenchant_hspell.so,55K
libenchant_ispell.so,51K
libenchant_myspell.so,22K
libpixbufloader-png.so,23K
libpixbufloader-svg.so,11K
libgedit.so,890K
libdocinfo.so,34K
libfilebrowser.so,188K
libmodelines.so,26K
libspell.so,26K
libtime.so,47K
libdconfsettings.so,52K
libgiognomeproxy.so,18K
libgiognutls.so,122K
libgiolibproxy.so,14K
libgioremote-volume-monitor.so,114K
libgvfsdbus.so,207K
im-ibus.so,31K
libgvfscommon.so,242K
libapt-pkg.so.5.0.2,1.8M
libapt-private.so.0.0.0,399K
libaspell.so.15.2.0,667K
libasyncns.so.0.3.1,22K
libatk-1.0.so.0.22810.1,150K
libatk-bridge-2.0.so.0.0.0,194K
libatspi.so.0.0.1,191K
libbabl-0.1.so.0.143.1,307K
libcairo-gobject.so.2.11510.0,34K
libcairo.so.2.11510.0,1.2M
libcares.so.2.2.0,70K
libcroco-0.6.so.3.0.1,235K
libdatrie.so.1.3.3,26K
libdbus-glib-1.so.2.3.4,154K
libdouble-conversion.so.1.0,67K
libenchant.so.1.6.0,46K
libepoxy.so.0.0.0,1.1M
libevview3.so.3.0.0,346K
libFLAC.so.8.3.0,474K
libfontconfig.so.1.10.1,276K
libfreetype.so.6.15.0,719K
libgdk-3.so.0.2200.30,981K
libgdk_pixbuf-2.0.so.0.3611.0,144K
libgdk-x11-2.0.so.0.2400.32,724K
libgegl-0.3.so.0.330.0,650K
libgio-2.0.so.0.5600.4,1.7M
libgirepository-1.0.so.1.0.0,208K
libGLdispatch.so.0.0.0,599K
